Date,BTC_Close,ETH_Close
2023-08-06,29088.42,1830.28
2023-08-07,29211.06,1829.1
2023-08-08,29770.42,1856.3
2023-08-09,29581.99,1855.35
2023-08-10,29455.75,1852.47
2023-08-11,29426.03,1848.84
2023-08-12,29430.17,1849.93
2023-08-13,29303.84,1840.73
2023-08-14,29430.93,1845.5
2023-08-15,29200.0,1828.98
2023-08-16,28730.51,1807.81
2023-08-17,26623.41,1681.49
2023-08-18,26054.0,1661.59
2023-08-19,26100.01,1669.67
2023-08-20,26189.99,1685.24
2023-08-21,26126.92,1667.55
2023-08-22,26056.0,1634.99
2023-08-23,26432.72,1679.61
2023-08-24,26180.05,1661.16
